Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Profit Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity,Net Income / Liabilities,5Y Historical Revenue Growth,5Y Historical EBITDA Growth,5Y Hist Op. Cash Flow Growth,5Y Historical EPS Growth,Forward PE Ratio,Enterprise Value,PB Ratio,Dividend Yield,PE Premium vs Sector,Domestic Institutional Holding,Mutual Fund Holding,Promoter Holding,Foreign Institutional Holding,Retail Investor Holding,Pledged Promoter Holdings,Insurance Firms Holding,No. of Shareholders,Total Revenue,Net Income,PBT,Earnings Per Share,EBITDA,Long Term Investments,Reserves & Surplus,Cash and Equivalent,Book Value,Free Cash Flow,Operating Cash Flow
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1679534.21004169,2467.4,34.1869038031609,7.79327701365584,3.95702111893294,9.72537033334455,17.7204943756918,20.4338091627685,2.41229503539891,31.3161801309262,33.8550370763242,22.831210159213,9.43620554209971,12.0273230443016,13.8379226922073,-7.24271183433771,8.34097790036283,25.0888549402225,1879599.21004169,2.10090940823196,0.281831006567143,87.531276750244,13.620915248276,4.81710043130649,50.6146056073462,24.7488711473213,7.65133471921382,0,6.36420136644548,3306662,505153,49128,55461,74.653048914109,103222,212382,579376,169843,799432,-79652,26185
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1358569.09301858,3626.7,41.8923556280783,37.7406797511885,25.9323822927329,19.3830650704377,29.0725284004738,28.9652204577105,2.80164793904623,23.8749940753093,8.94866143178583,7.46544519447123,75.6226098311725,8.41039810384563,7.49721337054894,15.2187688083482,7.10083463569,35.213843159406,1328550.09301858,15.5963756832734,1.03464706282758,8.06468914205505,7.93006445223003,3.3230002128981,72.186191235144,14.9784877021225,3.60111968090798,0.341522426322896,4.45981675745708,1577358,167311,32430,43760,87.0436239569868,48462,213,86063,38489,87108,35727,38802
HDFC Bank Ltd,HDFCBANK,Private Banks,820636.27490988,1486.5,25.7792579731186,16.4352004229457,1.8834334766503,20.4209159723686,28.2061160124953,28.3420941568116,-16.8333096307193,15.5878574220899,,,2.00326773562655,15.9518576043771,16.8871162635271,,17.890163584322,21.3514842052934,699996.51490988,3.89956648540557,0.436649563619828,-2.2877448310443,22.978635089408,14.9831981404308,25.7986836149732,37.4654550834213,9.77655020797339,0,2.88751346647401,1888276,155885.27,31833.2,42796.14,57.8992684343621,44181.15,438823.11,148746.23,121272.52,210442.95,40780.31,42476.46
Infosys Ltd,INFY,IT Services & Consulting,777500.97598866,1853.05,40.1788525651729,27.135304923366,19.4178946470591,18.8472139705668,28.656802120749,29.3066336816885,21.7308437107461,29.1145348466698,6.93521919199813,5.97405641947331,62.97308731166,9.38609950729885,8.29750809584282,18.2890488003049,9.09814386803376,33.9542389914533,756200.97598866,10.1260839257724,1.4741967999751,3.64457064882026,16.3031649057839,12.7910687411992,13.1177473443726,33.1744699336287,6.27268089100165,0,3.19529853500783,1897185,102673,19351,26628,45.6074229994011,30090,11863,73627,27056,76782,21117,23224
ICICI Bank Ltd,ICICIBANK,Private Banks,500279.04190316,710.75,27.2122827510611,12.3828973275142,1.24333269519827,11.3950119275574,11.9005430056793,16.9635544895708,5.05525802237792,23.5069867270152,,,1.3039495785159,9.73431931320186,12.559349560451,42.3103199623919,11.4944885994141,21.9145112599212,362296.84190316,2.99253194662075,0.276496031082541,3.14391200375521,43.7588934994836,28.2001595251099,0,45.2944206016808,6.79974347406798,0,12.664457626927,1642131,161336.47,18384.31,26028.33,27.4612176128086,27368.4,536578.62,107231.52,147570.54,167175.84,136327.09,138015.3
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,493895.83122871,2051.2,61.7755886464928,28.5841973543082,17.9879180587898,16.8121122910314,23.1185213904172,24.8049626747976,-27.3809474889766,17.8204771258104,0,0,37.9882162881308,7.77130168152762,13.0225916893749,17.0467877478532,13.0475208670481,53.9459273159779,486737.83122871,10.3555128785321,1.92667138802869,40.0620246008029,10.8586330791351,3.23735503405188,61.9006753013708,14.7059847211842,11.1920748622532,0,5.26650656228053,1137497,47555,7995,10605,35.4209919264275,11796,2,7089,7178,47694,5000,9163
State Bank of India,SBIN,Public Banks,447926.25289146,490.6,19.9918436314138,8.23440031450697,0.49455986248223,5.81449439088379,3.93068414367723,9.47402810556729,16.0850011647891,12.4915841833355,,,0.49028536512239,7.09993789816186,12.3119208750884,44.0908626219877,9.35317831639058,13.499579811997,109845.14289146,1.57063785861658,0.796971508268579,-24.2240359188178,24.0937125006262,12.9078500948825,57.6046510974987,10.3741458615426,6.34614109864192,0,9.93522356883564,2918312,385337.89,22405.45,32795.96,25.1052383788831,36507.02,1595100.27,195553.63,347707.03,285187.48,86090.91,89918.93
Housing Development Finance Corporation Ltd,HDFC,Home Financing,437634.04331285,2391.9,23.3528624408273,12.5161548211336,2.40409350900872,12.8362984699715,20.5658835177413,16.8451219242385,-21.6188673745241,10.4010674746307,269.907075624329,251.278195470562,2.82394565034122,22.3462647763331,15.9513005748458,,10.4083876513339,32.4016817375041,890516.68331285,2.64243888831806,0.948069936354097,-11.4846185207095,16.58414781417,9.40749390904166,0,72.1448596094829,6.99706142667773,0,6.87172215590623,671541,145992.71,18740.06,24237.3,105.99588576307,24592.65,302480.74,110904.24,3035.47,165617.47,-27435.11,-27276.43
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,423044.10954736,6870.4,95.7152349071591,12.7655530915559,2.63148744634107,16.5641484013259,29.3119804486425,23.6761914398841,9.88850327174264,42.3711859469504,356.584641646268,316.757438903788,3.2834637585186,29.4744646852161,25.6016487441669,,24.3986745055764,56.2233119680507,552513.30954736,11.4588929899029,0.142199267505143,262.79366405958,10.1132730128544,7.4346963936516,56.0336816939529,22.845590940717,7.34424458532659,0,0.976237277372107,636931,26683.05,4419.82,5992.26,73.5709601450245,6317.53,18396.91,19819.64,2176.18,36918.41,-1190.44,-880.95
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,416050.84589812,708.2,-27.583176709525,-16.4526841484957,-4.2880795737478,-13.4211437179509,28.7468947647427,36.5382373798895,20.0411941398223,15.573557161158,200.408733099748,167.025210953062,,1.72618558721427,1.11865275736915,11.5233963999966,,49.5899249144928,583565.74589812,5.12210096074587,,-48.1520508436095,19.4839753758727,11.7805796808364,55.9324359445867,19.3671156210533,1.3740806357555,0,2.24879450835239,750241,112386.1,-15083.5,-3431.5,-27.0480238274925,41063.9,23472.3,3204.8,17544.2,81226.6,20947.4,48205
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,361606.019042,1777.1,36.1960378252309,13.1471236172122,2.16613594741201,17.583825473552,23.7624368366446,23.9891669014941,-19.2091846601928,15.6346910641122,,,2.53414794034544,15.1755479831725,20.4846752741399,-0.577646237816076,20.168083147624,30.6142555224259,313889.399042,4.26228127785215,0.0493258410334379,37.1954339326652,15.4885256213238,8.50538861014519,25.9874441280361,42.0627774605303,4.48200017084632,0,6.6678054371198,530692,56814.77,9990.21000000001,13168.34,51.2992717331047,13629.39,156945.55,58670.95,47716.62,84838.61,4512.54,4881.13
Wipro Ltd,WIPRO,IT Services & Consulting,328522.2353046,600,30.4288684473158,19.5303907380608,13.2013249745973,16.780595163712,24.0133895079757,26.6948612497008,30.064463556017,26.195507410749,18.9850102087526,3.80939059922835,39.2382336907142,3.56706808644203,4.85878404568261,13.3449488420616,7.36148413071125,27.0730890447353,304573.4353046,5.96761964048842,0.166781361082602,-21.5062948740057,2.77435817756726,2.65407139897556,73.0111927070064,9.33844116962925,2.83675103099868,0,0.0391135418016261,1318775,64338.6,10796.4,13902.9,19.2922115907901,17175.1,1204,53726.7,34550,55050.8,12797.3,14755
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,324798.57534024,1168.05,29.1429856743149,19.9904935293221,13.1998152381178,14.6056666579299,24.8967495620219,27.4880088066469,5.51611599588467,22.1432083642952,10.8202123764189,9.53863053826437,42.9231658001155,18.977052325445,22.7567995479588,38.694334333981,15.6022356725272,24.1571110398211,315807.57534024,5.4059214962924,0.835491686857716,-24.8233325543677,13.7351457093731,8.95463981012932,60.3313310995249,20.4320336292522,3.19346315533698,0,4.44423149996546,778112,76306,11145,15853,41.0699169047351,20975,89,59363,15661,60082,17714,19618
ITC Ltd,ITC,FMCG - Tobacco,301787.82322859,244.5,22.930131943129,20.8337528200589,17.4237882443884,25.3561386940149,40.0408528846891,37.8414436741962,-6.43290767500406,-3.21513698455845,0.446220929035171,0.350182019189658,100.72382966967,4.96794890781589,4.16761679226452,5.03482916754849,6.64462965535453,18.9758921098924,282900.11322859,4.97227201021169,4.38453990845826,-48.0111679275674,43.7859922306176,10.7028670734832,0,9.99499320943326,12.8527359540854,0,21.465385721396,2997699,51905.34,13161.19,17938.17,10.6996866986401,19641.73,10024.54,49533.65,19505.35,60694.15,10690.45,12527.09
Asian Paints Ltd,ASIANPAINT,Paints,300791.957353,3045.75,95.8152822303768,26.4218418337202,17.2047424582752,14.2407337178899,21.1394515119924,23.5308767199348,10.2154003758494,23.3013094231791,8.26296474074298,4.35318973630203,44.05285292702,5.96805810109242,12.0377467749293,10.4293915346231,12.4602998935999,88.607195423884,298430.067353,22.737058492269,0.569220025102152,293.309257294286,7.15005400502435,2.96869116014123,52.6257666836368,20.4782376531539,11.82621438275,4.0228394396113,3.2067719839096,712261,22044.44,3139.29,4304.35,32.7282864152554,5187.25,1469.68,12710.37,3877.87,13229.15,3401.48,3683.35
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,297350.3949136,1876.05,1415.95426149333,9.46798917944094,0.891416928431955,5.83495415393165,67.9508082728786,72.9647124201167,41.2088112723342,,1138.71119473189,943.085606773283,0.790484077392155,,,593.231464607884,,,320250.3949136,139.863779357291,,4735.92701218894,0.623228708627903,0.139061198341488,61.2735626045563,16.5902489713841,0.810042667896869,0.599994521789149,0.484111628443699,189612,3599,210,187,1.3426987380192,2626,286,-703,1235,2126,-4542,1601
Avenue Supermarts Ltd,DMART,Retail - Department Stores,271599.926319025,4095.2,247.023553028246,9.45216084207954,8.54596422010467,4.5173499451709,8.6034710711523,7.96761776339224,22.238578641219,44.5995144260126,3.22313242411633,2.56079434607862,74.7474404122531,21.4920226292758,23.264093152501,25.9727447267899,24.3755173496155,159.527326710776,270544.506319025,22.2913225766203,,120.422733475724,6.73953484237006,6.23095446005932,74.987053793369,9.43880640128313,3.2672380218078,0,0.413591644938163,594561,24339.27,1099.49,1483.45,16.9733398861673,1939.26,0,5541.37,1448.53,12184.11,-654.28,1375.14
Adani Transmission Ltd,ADANITRANS,Power Infrastructure,262832.61363534,2289.05,214.725510306314,12.5004404116636,2.95145794002443,11.0855716580901,53.3688670801061,45.878366996506,182.032271669364,104.27788164025,268.994877709556,237.545071965487,3.68567739573246,37.2468096570997,20.4639113553629,19.6449086444076,27.0619373739209,119.091829476729,289432.47363534,26.2233148657509,,633.354829132131,2.91901197272439,0.139666022683664,74.918705850781,20.8003587652142,0.724177394180155,5.40932638458089,2.77931076214729,95731,11041.74,1224.04,1619.9,11.1295579020437,5065.77,267.24,4989.77,1464.7,10022.86,-167.99,3784.33
